,ymd,bWendu,yWendu,tianqi,fengxiang,fengli,aqi,aqiInfo,aqiLevel,city_list
324,2017-11-21,19℃,14℃,小雨,无持续风向,微风,30,优,1,广州
325,2017-11-22,17℃,11℃,阴,北风,3-4级,31,优,1,广州
326,2017-11-23,19℃,13℃,多云~阴,无持续风向,微风,54,良,2,广州
327,2017-11-24,16℃,14℃,阴~小雨,无持续风向,微风,51,良,2,广州
328,2017-11-25,14℃,11℃,小雨~阵雨,无持续风向,微风,53,良,2,广州
329,2017-11-26,19℃,11℃,多云,无持续风向,微风,49,优,1,广州
330,2017-11-27,22℃,17℃,多云,无持续风向,微风,43,优,1,广州
331,2017-11-28,23℃,18℃,阴~多云,无持续风向,微风,60,良,2,广州
332,2017-11-29,26℃,16℃,小雨,无持续风向,微风,65,良,2,广州
333,2017-11-30,23℃,13℃,多云,北风,3-4级,57,良,2,广州
334,2017-12-01,21℃,14℃,多云,北风,3-4级,29,优,1,广州
335,2017-12-02,23℃,15℃,多云,无持续风向,微风,30,优,1,广州
